state,effective_date,company_name,line_of_business,sub_type_of_insurance,overall_indicated_change,overall_rate_impact,written_premium_change,policyholders_affected,written_premium_for_program,maximum_percent_change,minimum_percent_change,rate_activity,serff_tracking_number,disposition_status,filing_date,source_pdf
CO,12/20/2025,Allstate Property and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-7.700%,-5.700%,-1101681,5292,19327737,0.000%,-12.700%,rate_change,ALSE-134679055,Filed,2025-09-23,output/pdfs/CO/134679055/filing_summary.pdf
CO,12/20/2025,Allstate Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-6.200%,-4.300%,-1382427,9583,32149469,0.000%,-14.300%,rate_change,ALSE-134679258,Filed,2025-09-23,output/pdfs/CO/134679258/filing_summary.pdf
CO,12/20/2025,Allstate Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-3.800%,-0.700%,-105052,3244,15007464,0.000%,-1.500%,rate_change,ALSE-134681921,Filed,2025-09-23,output/pdfs/CO/134681921/filing_summary.pdf
CO,12/20/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),1.500%,0.000%,0,143346,523575197,0.000%,0.000%,rate_change,ALSE-134681972,Filed,2025-09-23,output/pdfs/CO/134681972/filing_summary.pdf
CO,01/22/2026,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0001 Condominium Homeowners,3.500%,3.500%,681134,18880,19459174,7.000%,0.500%,rate_change,ALSE-134749670,Filed,2025-11-21,output/pdfs/CO/134749670/filing_summary.pdf
CO,01/22/2026,Allstate Indemnity Company,04.0 Homeowners,04.0001 Condominium Homeowners,7.300%,7.300%,152460,2321,2089620,10.000%,2.000%,rate_change,ALSE-134755310,Filed,2025-12-01,output/pdfs/CO/134755310/filing_summary.pdf
CO,03/29/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),1.500%,1.500%,78752,709,5250114,8.100%,-5.100%,rate_change,GMMX-134404218,Filed,2025-02-10,output/pdfs/CO/134404218/filing_summary.pdf
CO,06/23/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,3761524,0.000%,0.000%,rate_change,GMMX-134490929,Filed,2025-04-11,output/pdfs/CO/134490929/filing_summary.pdf
CO,11/08/2025,Encompass Indemnity Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,2.800%,2.800%,186601,1642,6547735,21.600%,1.800%,rate_change,GMMX-134663952,Filed,2025-09-09,output/pdfs/CO/134663952/filing_summary.pdf
CO,10/13/2025,Encompass Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,-14.791%,-2798,5,18919,11.100%,-23.800%,rate_change,GMMX-134694672,Filed,2025-10-03,output/pdfs/CO/134694672/filing_summary.pdf
CO,07/03/2025,GEICO Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,2112,6572372,7.420%,-10.170%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,GEICO Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,95787,254065149,30.380%,-23.560%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,GEICO General Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,10839,26803814,8.510%,-11.790%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,Government Employees Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,3979,10943770,7.040%,-11.790%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,GEICO Choice Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,13867,30098648,18.970%,-14.320%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,GEICO Secure Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,93994,211526381,18.970%,-14.320%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,01/09/2026,GEICO Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,2036,6572372,7.530%,-8.420%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,GEICO Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,91970,254065149,28.970%,-25.040%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,GEICO General Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,10392,26803814,8.500%,-11.740%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,Government Employees Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,3767,10943770,6.190%,-11.740%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,GEICO Choice Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,13868,30098648,17.990%,-13.460%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,GEICO Secure Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,92440,211526381,21.180%,-14.300%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,04/02/2026,GEICO Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,2036,5840869,20.400%,-24.800%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,GEICO Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,91970,202911983,40.200%,-24.400%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,GEICO General Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,10392,23811967,32.400%,-33.500%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,Government Employees Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,3767,9904386,17.800%,-26.000%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,GEICO Choice Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,13868,33792307,42.900%,-23.500%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,GEICO Secure Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,92440,231003997,50.200%,-30.300%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,01/23/2025,Liberty Mutual Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,0.000%,0.000%,0,109,441054,0.000%,0.000%,rate_change,LBPM-134362517,Filed,2025-01-09,output/pdfs/CO/134362517/filing_summary.pdf
CO,01/23/2025,Peerless Indemnity Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,0.000%,0.000%,0,7015,23371975,0.000%,0.000%,rate_change,LBPM-134362517,Filed,2025-01-09,output/pdfs/CO/134362517/filing_summary.pdf
CO,05/17/2025,Liberty Mutual Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,0.000%,0.000%,0,98,186641,0.000%,0.000%,rate_change,LBPM-134488149,Filed,2025-04-08,output/pdfs/CO/134488149/filing_summary.pdf
CO,05/17/2025,Peerless Indemnity Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,0.000%,0.000%,0,6706,10503181,0.000%,0.000%,rate_change,LBPM-134488149,Filed,2025-04-08,output/pdfs/CO/134488149/filing_summary.pdf
CO,05/30/2025,Liberty Mutual Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,-2.200%,0.000%,37,43,89547,4.800%,-2.300%,rate_change,LBPM-134551958,Filed,2025-05-29,output/pdfs/CO/134551958/filing_summary.pdf
CO,05/30/2025,Liberty Mutual Personal Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,-2.200%,-2.000%,-2070653,30706,103250423,7.200%,-8.500%,rate_change,LBPM-134551958,Filed,2025-05-29,output/pdfs/CO/134551958/filing_summary.pdf
CO,02/13/2026,Liberty Mutual Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,15.400%,3.030%,15791,121,520683,3.200%,2.800%,rate_change,LBPM-134814553,Filed,2026-01-27,output/pdfs/CO/134814553/filing_summary.pdf
CO,02/13/2026,Peerless Indemnity Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,15.400%,3.040%,846342,8442,27858972,3.300%,2.400%,rate_change,LBPM-134814553,Filed,2026-01-27,output/pdfs/CO/134814553/filing_summary.pdf
CO,03/20/2026,Liberty Mutual Fire Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,15.400%,3.390%,131586,515,3885888,8.130%,2.760%,rate_change,LBPM-134814588,Filed,2026-01-27,output/pdfs/CO/134814588/filing_summary.pdf
CO,02/13/2026,Liberty Insurance Corporation,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,15.400%,8.000%,318742,4146,3983816,8.100%,4.400%,rate_change,LBPM-134814602,Filed,2026-01-27,output/pdfs/CO/134814602/filing_summary.pdf
CO,02/13/2026,Liberty Mutual Personal Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,15.400%,3.010%,2486348,16429,82681536,3.340%,2.100%,rate_change,LBPM-134814602,Filed,2026-01-27,output/pdfs/CO/134814602/filing_summary.pdf
CO,05/30/2025,Progressive Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-14.860%,-4.200%,-66805,596,1590594,10.300%,-14.930%,rate_change,PRGS-134483202,Filed,2025-05-30,output/pdfs/CO/134483202/filing_summary.pdf
CO,05/30/2025,Progressive Direct Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-7.390%,-3.000%,-22357214,345517,745240469,25.060%,-15.970%,rate_change,PRGS-134483202,Filed,2025-05-30,output/pdfs/CO/134483202/filing_summary.pdf
CO,05/30/2025,Progressive Preferred Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-14.860%,-6.100%,-18329542,117383,300484287,22.510%,-25.160%,rate_change,PRGS-134483202,Filed,2025-05-30,output/pdfs/CO/134483202/filing_summary.pdf
CO,05/30/2025,Progressive Specialty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-14.860%,-4.400%,-28973,226,658471,8.180%,-12.990%,rate_change,PRGS-134483202,Filed,2025-05-30,output/pdfs/CO/134483202/filing_summary.pdf
CO,05/30/2025,Progressive Mountain Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-14.860%,-4.000%,-13851,218,346283,8.720%,-9.440%,rate_change,PRGS-134483202,Filed,2025-05-30,output/pdfs/CO/134483202/filing_summary.pdf
CO,10/31/2025,Progressive Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-11.640%,-7.300%,-116057,583,1589822,-2.210%,-9.680%,rate_change,PRGS-134710552,Filed,2025-10-30,output/pdfs/CO/134710552/filing_summary.pdf
CO,10/31/2025,Progressive Preferred Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-11.640%,-6.800%,-22756464,120629,334653880,-1.290%,-10.750%,rate_change,PRGS-134710552,Filed,2025-10-30,output/pdfs/CO/134710552/filing_summary.pdf
CO,10/31/2025,Progressive Specialty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-11.640%,-7.200%,-48359,225,671657,-2.120%,-8.890%,rate_change,PRGS-134710552,Filed,2025-10-30,output/pdfs/CO/134710552/filing_summary.pdf
CO,10/31/2025,Progressive Mountain Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-11.640%,-7.300%,-35656,214,488445,-2.760%,-9.790%,rate_change,PRGS-134710552,Filed,2025-10-30,output/pdfs/CO/134710552/filing_summary.pdf
CO,10/31/2025,Progressive Direct Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-7.050%,-4.800%,-35046584,354385,730137175,4.800%,-8.560%,rate_change,PRGS-134710552,Filed,2025-10-30,output/pdfs/CO/134710552/filing_summary.pdf
CO,04/14/2025,American Economy Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,49.300%,36.000%,6297755,17719,17506322,75.300%,-15.000%,rate_change,LBPM-134412448,Filed,2025-02-14,output/pdfs/CO/134412448/filing_summary.pdf
CO,04/14/2025,Safeco Insurance Company of America,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,17.100%,13.500%,28040694,54702,207965553,72.400%,-33.200%,rate_change,LBPM-134412448,Filed,2025-02-14,output/pdfs/CO/134412448/filing_summary.pdf
CO,04/14/2025,Safeco Insurance Company of America,04.0 Homeowners,04.0001 Condominium Homeowners,0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,LBPM-134450061,Filed,2025-03-11,output/pdfs/CO/134450061/filing_summary.pdf
CO,02/15/2026,Safeco Insurance Company of America,19.0 Personal Auto,19.0000 Personal Auto Combinations,3.000%,0.000%,0,91072,310820277,21.000%,-15.000%,rate_change,LBPM-134762479,Filed,2025-12-09,output/pdfs/CO/134762479/filing_summary.pdf
CO,04/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,40568,96780298,23.900%,-24.800%,rate_change,SFMA-134294866,Filed,2025-01-28,output/pdfs/CO/134294866/filing_summary.pdf
CO,04/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,1135697,1696535022,35.800%,-30.200%,rate_change,SFMA-134294866,Filed,2025-01-28,output/pdfs/CO/134294866/filing_summary.pdf
CO,01/27/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0002 Motorcycle,3.700%,0.000%,-2,4164,1513879,5.600%,-8.900%,rate_change,SFMA-134320521,Filed,2024-11-22,output/pdfs/CO/134320521/filing_summary.pdf
CO,01/27/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0002 Motorcycle,3.700%,-0.004%,-285,48376,8064746,4.600%,-10.500%,rate_change,SFMA-134320521,Filed,2024-11-22,output/pdfs/CO/134320521/filing_summary.pdf
CO,01/27/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-3.300%,-0.035%,-33639,40568,96780298,12.100%,-26.600%,rate_change,SFMA-134320536,Filed,2024-11-22,output/pdfs/CO/134320536/filing_summary.pdf
CO,01/27/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.200%,-0.013%,-213146,1135697,1696535022,11.000%,-21.700%,rate_change,SFMA-134320536,Filed,2024-11-22,output/pdfs/CO/134320536/filing_summary.pdf
CO,01/27/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),3.700%,0.001%,3,601,373240,1.800%,-2.600%,rate_change,SFMA-134320543,Filed,2024-11-22,output/pdfs/CO/134320543/filing_summary.pdf
CO,01/27/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),3.700%,0.000%,-122,82673,30432911,3.200%,-4.200%,rate_change,SFMA-134320543,Filed,2024-11-22,output/pdfs/CO/134320543/filing_summary.pdf
CO,03/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,,0.000%,0,545361,1079084772,0.000%,0.000%,rate_change,SFMA-134393639,Filed,2025-02-07,output/pdfs/CO/134393639/filing_summary.pdf
CO,05/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0002 Mobile Homeowners,10.300%,10.000%,453710,5717,4557304,11.200%,0.000%,rate_change,SFMA-134452674,Filed,2025-03-18,output/pdfs/CO/134452674/filing_summary.pdf
CO,07/01/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,23.200%,16.400%,177509947,545361,1079084772,50.400%,-10.800%,rate_change,SFMA-134522369,Filed,2025-05-09,output/pdfs/CO/134522369/filing_summary.pdf
CO,07/29/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),15.700%,18.600%,77260,622,415386,75.000%,0.000%,rate_change,SFMA-134532940,Filed,2025-05-20,output/pdfs/CO/134532940/filing_summary.pdf
CO,07/29/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),15.700%,13.304%,4059986,82769,30516879,70.800%,-19.400%,rate_change,SFMA-134532940,Filed,2025-05-20,output/pdfs/CO/134532940/filing_summary.pdf
CO,07/29/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0002 Motorcycle,2.500%,1.002%,14474,4148,1444547,35.300%,-9.900%,rate_change,SFMA-134532992,Filed,2025-05-20,output/pdfs/CO/134532992/filing_summary.pdf
CO,07/29/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0002 Motorcycle,2.500%,-0.005%,-420,47994,7960381,35.300%,-13.000%,rate_change,SFMA-134532992,Filed,2025-05-20,output/pdfs/CO/134532992/filing_summary.pdf
CO,07/29/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,13.600%,-3.050%,-2489382,35300,81620214,36.200%,-28.600%,rate_change,SFMA-134532998,Filed,2025-05-20,output/pdfs/CO/134532998/filing_summary.pdf
CO,07/29/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,0.000%,-4.045%,-69278198,1152647,1712624141,24.700%,-43.600%,rate_change,SFMA-134532998,Filed,2025-05-20,output/pdfs/CO/134532998/filing_summary.pdf
CO,09/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,,0.000%,0,545361,1256594719,0.000%,0.000%,rate_change,SFMA-134604280,Filed,2025-08-12,output/pdfs/CO/134604280/filing_summary.pdf
CO,10/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0005 Other Homeowners,11.000%,9.800%,11393108,60097,116259930,38.000%,-8.300%,rate_change,SFMA-134620253,Filed,2025-07-31,output/pdfs/CO/134620253/filing_summary.pdf
CO,10/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0005 Other Homeowners,25.800%,12.600%,2433030,25748,19304787,14.900%,2.800%,rate_change,SFMA-134620275,Filed,2025-07-31,output/pdfs/CO/134620275/filing_summary.pdf
CO,12/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),9.200%,-8.959%,-5629719,29073,62836805,1.900%,-15.900%,rate_change,SFMA-134702926,Filed,2025-10-24,output/pdfs/CO/134702926/filing_summary.pdf
CO,12/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.300%,-7.822%,-130056850,1174505,1662621165,1.100%,-12.200%,rate_change,SFMA-134702926,Filed,2025-10-24,output/pdfs/CO/134702926/filing_summary.pdf
CO,12/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),15.700%,0.001%,4,714,547530,1.900%,-1.400%,rate_change,SFMA-134702973,Filed,2025-10-24,output/pdfs/CO/134702973/filing_summary.pdf
CO,12/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),15.700%,0.000%,0,84036,35371108,0.100%,-1.400%,rate_change,SFMA-134702973,Filed,2025-10-24,output/pdfs/CO/134702973/filing_summary.pdf
CO,12/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0002 Motorcycle,2.500%,0.005%,84,4641,1731791,1.400%,0.000%,rate_change,SFMA-134702979,Filed,2025-10-24,output/pdfs/CO/134702979/filing_summary.pdf
CO,12/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0002 Motorcycle,2.500%,0.003%,210,48758,8319393,0.100%,0.000%,rate_change,SFMA-134702979,Filed,2025-10-24,output/pdfs/CO/134702979/filing_summary.pdf
CO,03/14/2025,Travelers Personal Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,20.700%,9.900%,29899633,105836,302016491,21.400%,-14.800%,rate_change,TRVD-G134420284,Filed,2025-02-27,output/pdfs/CO/134438849/filing_summary.pdf
CO,05/17/2025,The Travelers Home and Marine Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,28.800%,13.200%,5955691,15472,45118871,24.300%,-2.900%,rate_change,TRVD-G134450451,Filed,2025-03-10,output/pdfs/CO/134451532/filing_summary.pdf
CO,05/17/2025,Travelers Commercial Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,28.800%,14.500%,244055,584,1683140,23.700%,-2.500%,rate_change,TRVD-G134450451,Filed,2025-03-10,output/pdfs/CO/134451532/filing_summary.pdf
CO,08/17/2025,Travelers Personal Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,,0.000%,0,106478,334013501,16.700%,-35.000%,rate_change,TRVD-G134585304,Filed,2025-07-11,output/pdfs/CO/134602353/filing_summary.pdf
CO,11/16/2025,Travelers Personal Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,,0.000%,0,100997,334013501,0.000%,0.000%,rate_change,TRVD-G134688466,Filed,2025-10-08,output/pdfs/CO/134700105/filing_summary.pdf
OR,03/03/2025,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,16.600%,10.300%,9019288,55420,87565899,20.100%,4.300%,rate_change,ALSE-134399337,Filed,2025-01-31,output/pdfs/OR/134399337/filing_summary.pdf
OR,03/18/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,18009,46042163,18.400%,-2.300%,rate_change,ALSE-134450781,Filed,2025-03-07,output/pdfs/OR/134450781/filing_summary.pdf
OR,06/23/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,201110550,0.000%,0.000%,rate_change,ALSE-134490765,Filed,2025-04-09,output/pdfs/OR/134490765/filing_summary.pdf
OR,06/30/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,-5.000%,-3148129,24444,62962576,-4.000%,-11.700%,rate_change,ALSE-134566002,Filed,2025-06-10,output/pdfs/OR/134566002/filing_summary.pdf
OR,07/21/2025,Allstate Insurance Company,19.0 Personal Auto,19.0004 Other,31.000%,31.000%,65123,889,210221,77.600%,0.000%,rate_change,ALSE-134570882,Filed,2025-06-13,output/pdfs/OR/134570882/filing_summary.pdf
OR,07/14/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,-0.600%,-441209,28228,73534790,0.000%,-1.100%,rate_change,ALSE-134580010,Filed,2025-06-23,output/pdfs/OR/134580010/filing_summary.pdf
OR,11/03/2025,Allstate Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,18112177,0.000%,0.000%,rate_change,ALSE-134650509,Filed,2025-08-25,output/pdfs/OR/134650509/filing_summary.pdf
OR,11/03/2025,Allstate Property and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,12495941,0.000%,0.000%,rate_change,ALSE-134650509,Filed,2025-08-25,output/pdfs/OR/134650509/filing_summary.pdf
OR,11/03/2025,Allstate Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,3196373,0.000%,0.000%,rate_change,ALSE-134650509,Filed,2025-08-25,output/pdfs/OR/134650509/filing_summary.pdf
OR,10/20/2025,Allstate Insurance Company,04.0 Homeowners,04.0001 Condominium Homeowners,8.800%,8.800%,205665,3289,2336296,13.700%,1.700%,rate_change,ALSE-134653139,Filed,2025-08-27,output/pdfs/OR/134653139/filing_summary.pdf
OR,10/20/2025,Allstate Property and Casualty Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,22.000%,11.400%,263092,5895,2307823,134.700%,0.000%,rate_change,ALSE-134662416,Filed,2025-09-05,output/pdfs/OR/134662416/filing_summary.pdf
OR,03/26/2026,Allstate North American Insurance Company,04.0 Homeowners,04.0004 Tenant Homeowners,0.000%,0.000%,0,19785,2482322,3.500%,-1.600%,rate_change,ALSE-134829446,Filed,2026-02-05,output/pdfs/OR/134829446/filing_summary.pdf
OR,04/14/2026,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),,0.500%,414985,35084,82996959,5.000%,-1.000%,rate_change_pending,ALSE-134886800,Review pending,2026-03-30,output/pdfs/OR/134886800/filing_summary.pdf
OR,04/14/2025,Encompass Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,-45471,1423,4616938,7.400%,-5.100%,rate_change,GMMX-134457186,Filed,2025-03-14,output/pdfs/OR/134457186/filing_summary.pdf
OR,02/06/2025,GEICO Indemnity Company,19.0 Personal Auto,19.0002 Motorcycle,5.100%,3.200%,191492,12584,5984134,67.000%,-24.900%,rate_change,GECC-134364417,Filed,2025-01-03,output/pdfs/OR/134364417/filing_summary.pdf
OR,02/05/2025,Liberty Mutual Fire Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5.000%,-6.100%,-292595,1157,4805727,-3.360%,-8.680%,rate_change,LBPM-134342681,Filed,2024-12-06,output/pdfs/OR/134342681/filing_summary.pdf
OR,02/05/2025,The First Liberty Insurance Corporation,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5.000%,-6.200%,-2435,9,39305,-5.120%,-7.530%,rate_change,LBPM-134342681,Filed,2024-12-06,output/pdfs/OR/134342681/filing_summary.pdf
OR,01/01/2025,Liberty Mutual Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5.000%,-6.400%,-4066,36,63673,-3.600%,-8.100%,rate_change,LBPM-134342854,Filed,2024-12-06,output/pdfs/OR/134342854/filing_summary.pdf
OR,01/01/2025,Peerless Indemnity Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5.000%,-6.200%,-219687,3240,3531721,-1.400%,-7.900%,rate_change,LBPM-134342854,Filed,2024-12-06,output/pdfs/OR/134342854/filing_summary.pdf
