state,effective_date,company_name,line_of_business,sub_type_of_insurance,overall_indicated_change,overall_rate_impact,written_premium_change,policyholders_affected,written_premium_for_program,maximum_percent_change,minimum_percent_change,rate_activity,serff_tracking_number,disposition_status,filing_date,source_pdf
ID,05/08/2025,GEICO Marine Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change_withdrawn,GECC-134601148,WITHDRAWN,2025-07-14,output/pdfs/ID/134601148/filing_summary.pdf
ID,05/08/2025,GEICO Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,GECC-134653021,FILED,2025-09-09,output/pdfs/ID/134653021/filing_summary.pdf
ID,05/08/2025,GEICO Marine Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,GECC-134653021,FILED,2025-09-09,output/pdfs/ID/134653021/filing_summary.pdf
ID,04/03/2026,GEICO Marine Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-11.900%,-7.500%,-130787,1447,1741509,-0.700%,-11.500%,rate_change,GECC-134894381,FILED,2026-04-02,output/pdfs/ID/134894381/filing_summary.pdf
ID,04/03/2026,GEICO Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),-12.400%,-7.500%,-617584,9434,8256468,-1.100%,-11.700%,rate_change,GECC-134894381,FILED,2026-04-02,output/pdfs/ID/134894381/filing_summary.pdf
ID,02/05/2025,Liberty Mutual Fire Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,4.400%,-7.000%,-137094,478,1960106,-6.300%,-11.000%,rate_change,LBPM-134347248,FILED,2024-12-12,output/pdfs/ID/134347248/filing_summary.pdf
ID,01/01/2025,Liberty Mutual Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,4.400%,-7.000%,-4203,29,59666,-5.800%,-7.300%,rate_change,LBPM-134347722,FILED,2024-12-12,output/pdfs/ID/134347722/filing_summary.pdf
ID,01/01/2025,Liberty Mutual Personal Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,4.400%,-7.000%,-104843,1003,1492141,-5.400%,-7.600%,rate_change,LBPM-134347722,FILED,2024-12-12,output/pdfs/ID/134347722/filing_summary.pdf
ID,01/21/2025,Liberty Insurance Corporation,19.0 Personal Auto,19.0000 Personal Auto Combinations,-5.000%,-5.000%,-1118,4,21563,0.400%,-7.000%,rate_change,LBPM-134347807,FILED,2024-12-13,output/pdfs/ID/134347807/filing_summary.pdf
ID,01/21/2025,Liberty Mutual Fire Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,-5.000%,-5.000%,-56053,301,1112402,1.300%,-12.400%,rate_change,LBPM-134347807,FILED,2024-12-13,output/pdfs/ID/134347807/filing_summary.pdf
ID,01/21/2025,The First Liberty Insurance Corporation,19.0 Personal Auto,19.0000 Personal Auto Combinations,-5.000%,-5.000%,-1386,9,27910,0.000%,-9.400%,rate_change,LBPM-134347807,FILED,2024-12-13,output/pdfs/ID/134347807/filing_summary.pdf
ID,07/21/2025,Liberty Mutual Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,LBPM-134399434,FILED,2025-02-03,output/pdfs/ID/134399434/filing_summary.pdf
ID,07/21/2025,Liberty Mutual Personal Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,1.300%,0.000%,208,2904,4824412,12.500%,-10.000%,rate_change,LBPM-134399434,FILED,2025-02-03,output/pdfs/ID/134399434/filing_summary.pdf
ID,05/17/2025,Liberty Mutual Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,LBPM-134488487,FILED,2025-04-10,output/pdfs/ID/134488487/filing_summary.pdf
ID,05/17/2025,Liberty Mutual Personal Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,LBPM-134488487,FILED,2025-04-10,output/pdfs/ID/134488487/filing_summary.pdf
ID,01/10/2025,Progressive Direct Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),2.900%,1.400%,919714,82393,65998147,13.500%,-3.500%,rate_change,PRGS-134368750,FILED,2025-01-10,output/pdfs/ID/134368750/filing_summary.pdf
ID,01/10/2025,Progressive Northern Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),1.100%,-0.600%,-1083,211,187367,3.300%,-2.600%,rate_change,PRGS-134368750,FILED,2025-01-10,output/pdfs/ID/134368750/filing_summary.pdf
ID,01/10/2025,Progressive Northwestern Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),1.100%,-0.600%,460749,82064,79723926,10.600%,-4.400%,rate_change,PRGS-134368750,FILED,2025-01-10,output/pdfs/ID/134368750/filing_summary.pdf
ID,03/16/2025,Safeco Insurance Company of Illinois,19.0 Personal Auto,19.0002 Motorcycle,9.400%,8.800%,465032,14290,5306519,19.900%,0.000%,rate_change,LBPM-134326132,FILED,2024-11-22,output/pdfs/ID/134326132/filing_summary.pdf
ID,05/12/2025,Safeco Insurance Company of Illinois,19.0 Personal Auto,19.0000 Personal Auto Combinations,-12.700%,-3.000%,-3246916,48818,106745,0.500%,-7.300%,rate_change,LBPM-134403897,FILED,2025-02-07,output/pdfs/ID/134403897/filing_summary.pdf
ID,01/01/2026,American Economy Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,4.500%,2.400%,2815740,58392,117643997,4.400%,-0.200%,rate_change,LBPM-134760659,FILED,2025-12-04,output/pdfs/ID/134760659/filing_summary.pdf
ID,01/01/2026,Safeco Insurance Company of Illinois,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,4.500%,2.000%,947532,19679,48022559,5.800%,0.600%,rate_change,LBPM-134760659,FILED,2025-12-04,output/pdfs/ID/134760659/filing_summary.pdf
ID,04/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,20778,27823328,41.700%,-26.900%,rate_change,SFMA-134294867,FILED,2025-01-28,output/pdfs/ID/134294867/filing_summary.pdf
ID,04/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,290956,238742051,24.500%,-26.900%,rate_change,SFMA-134294867,FILED,2025-01-28,output/pdfs/ID/134294867/filing_summary.pdf
ID,02/03/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,13.300%,0.000%,2937,22213,28615291,19.400%,-13.500%,rate_change,SFMA-134329519,FILED,2024-12-06,output/pdfs/ID/134329519/filing_summary.pdf
ID,02/03/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,-0.200%,-2.200%,-5758545,356711,261203324,13.300%,-17.100%,rate_change,SFMA-134329519,FILED,2024-12-06,output/pdfs/ID/134329519/filing_summary.pdf
ID,01/02/2026,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,15.900%,-2.100%,-554469,20679,26357498,388.400%,-41.500%,rate_change,SFMA-134676753,FILED,2025-10-09,output/pdfs/ID/134676753/filing_summary.pdf
ID,01/02/2026,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,-2.600%,-9.700%,-25716996,360274,263832752,847.900%,-52.200%,rate_change,SFMA-134676753,FILED,2025-10-09,output/pdfs/ID/134676753/filing_summary.pdf
ID,01/25/2025,The Travelers Home and Marine Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,19.100%,8.300%,737882,5911,8890145,17.700%,0.000%,rate_change,TRVD-G134249162,FILED,2024-09-19,output/pdfs/ID/134254872/filing_summary.pdf
ID,01/25/2025,Travelers Commercial Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,19.100%,8.800%,34845,280,395965,17.200%,0.000%,rate_change,TRVD-G134249162,FILED,2024-09-19,output/pdfs/ID/134254872/filing_summary.pdf
WA,02/03/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),9.600%,9.100%,55166401,200145,606224182,48.000%,-1.000%,rate_change,ALSE-134206307,Approved,2024-08-08,output/pdfs/WA/134206307/filing_summary.pdf
WA,08/25/2025,Allstate Indemnity Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,17.900%,11.500%,2752700,13118,23936525,13.200%,7.400%,rate_change,ALSE-134326701,Approved,2024-11-20,output/pdfs/WA/134326701/filing_summary.pdf
WA,08/25/2025,Allstate Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,15.000%,8.900%,2542799,17045,28570771,10.500%,5.500%,rate_change,ALSE-134327525,Approved,2024-11-21,output/pdfs/WA/134327525/filing_summary.pdf
WA,08/25/2025,Allstate Property and Casualty Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,11.400%,4.900%,3779468,43927,77131999,8.900%,1.900%,rate_change,ALSE-134328097,Approved,2024-11-21,output/pdfs/WA/134328097/filing_summary.pdf
WA,04/07/2025,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,27.100%,20.900%,46373640,118778,221883447,21.700%,17.900%,rate_change,ALSE-134345731,Approved,2024-12-09,output/pdfs/WA/134345731/filing_summary.pdf
WA,03/18/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,-13.700%,-109613,472,800092,13.700%,-32.200%,rate_change,ALSE-134416811,Approved,2025-02-12,output/pdfs/WA/134416811/filing_summary.pdf
WA,07/21/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,541730713,0.000%,0.000%,rate_change,ALSE-134489276,Approved,2025-04-09,output/pdfs/WA/134489276/filing_summary.pdf
WA,07/21/2025,Allstate Property and Casualty Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,0.000%,0.000%,0,0,6895556,0.000%,0.000%,rate_change,ALSE-134489925,Approved,2025-04-09,output/pdfs/WA/134489925/filing_summary.pdf
WA,07/24/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,-2.900%,-20025,472,690507,1.800%,-5.700%,rate_change,ALSE-134500694,Approved,2025-04-17,output/pdfs/WA/134500694/filing_summary.pdf
WA,01/19/2026,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0001 Condominium Homeowners,11.900%,11.900%,675285,6107,5681808,15.400%,5.600%,rate_change,ALSE-134517504,Approved,2025-05-01,output/pdfs/WA/134517504/filing_summary.pdf
WA,11/10/2025,Allstate Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),6.900%,6.900%,1129791,3980,16373783,12.600%,0.000%,rate_change,ALSE-134538132,Approved,2025-05-19,output/pdfs/WA/134538132/filing_summary.pdf
WA,08/04/2025,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,0.000%,0.000%,0,123621,233084721,4.200%,-3.700%,rate_change,ALSE-134572006,Approved,2025-06-16,output/pdfs/WA/134572006/filing_summary.pdf
WA,10/14/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,-2.400%,-313375,8451,13057296,0.000%,-5.000%,rate_change,ALSE-134597553,Approved,2025-07-09,output/pdfs/WA/134597553/filing_summary.pdf
WA,11/18/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,-3.300%,-1425594,27336,43199831,0.000%,-9.200%,rate_change,ALSE-134684477,Approved,2025-09-25,output/pdfs/WA/134684477/filing_summary.pdf
WA,01/06/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,18275978,0.000%,0.000%,rate_change,ALSE-134214686,Approved,2024-08-15,output/pdfs/WA/134214686/filing_summary.pdf
WA,,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,22469034,0.000%,0.000%,rate_change,GMMX-134645542,Approved,2025-09-03,output/pdfs/WA/134645542/filing_summary.pdf
WA,12/13/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,5324,22469034,0.000%,0.000%,rate_change,GMMX-134659152,Approved,2025-09-03,output/pdfs/WA/134659152/filing_summary.pdf
WA,09/18/2025,GEICO General Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,2090,1077172,24.800%,-17.900%,rate_change,GECC-134628136,Approved,2025-08-07,output/pdfs/WA/134628136/filing_summary.pdf
WA,09/18/2025,Government Employees Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,946,493777,24.400%,-17.500%,rate_change,GECC-134628136,Approved,2025-08-07,output/pdfs/WA/134628136/filing_summary.pdf
WA,09/18/2025,GEICO Indemnity Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,468,313322,22.000%,-15.200%,rate_change,GECC-134629877,Approved,2025-08-07,output/pdfs/WA/134629877/filing_summary.pdf
WA,09/18/2025,GEICO Advantage Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,6838,3570611,22.700%,-18.900%,rate_change,GECC-134629950,Approved,2025-08-07,output/pdfs/WA/134629950/filing_summary.pdf
WA,09/18/2025,GEICO Choice Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,1090,851643,22.200%,-19.000%,rate_change,GECC-134629950,Approved,2025-08-07,output/pdfs/WA/134629950/filing_summary.pdf
WA,09/18/2025,GEICO Secure Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),0.000%,0.000%,0,220,268980,19.400%,-15.800%,rate_change,GECC-134629950,Approved,2025-08-07,output/pdfs/WA/134629950/filing_summary.pdf
WA,02/07/2025,Progressive Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,136399,202923596,8.800%,-8.200%,rate_change,PRGS-134191751,Approved,2024-07-29,output/pdfs/WA/134191751/filing_summary.pdf
WA,02/07/2025,Progressive Direct Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,314349,306405692,11.300%,-8.500%,rate_change,PRGS-134191751,Approved,2024-07-29,output/pdfs/WA/134191751/filing_summary.pdf
WA,03/16/2025,Safeco Insurance Company of Illinois,19.0 Personal Auto,19.0002 Motorcycle,10.200%,9.900%,986227,21127,9923754,13.700%,0.000%,rate_change,LBPM-134220016,Approved,2024-08-22,output/pdfs/WA/134220016/filing_summary.pdf
WA,12/31/2025,Safeco Insurance Company of America,04.0 Homeowners,04.0001 Condominium Homeowners,18.800%,4.900%,563934,11751,11487151,6.800%,0.500%,rate_change,LBPM-134619371,Approved,2025-07-30,output/pdfs/WA/134619371/filing_summary.pdf
