state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
OR,PPA,GNSC-134314140,"MGA Insurance Company, Inc.",11/18/2024,-2.500%,2295,,,,,,,,,none
OR,PPA,GNSC-134675106,"MGA Insurance Company, Inc.",09/19/2025,-3.000%,2015,,,,,,,,,none
OR,PPA,PRGS-133998748,Artisan and Truckers Casualty Company,04/19/2024,0.600%,123168,,,,,,,,,none
OR,PPA,PRGS-133998748,Progressive Universal Insurance Company,04/19/2024,-0.200%,216645,,,,,,,,,none
OR,PPA,PRGS-134194104,Artisan and Truckers Casualty Company,09/20/2024,4.200%,139299,,,,,,,,,none
OR,PPA,PRGS-134194104,Progressive Universal Insurance Company,09/20/2024,-2.500%,238599,,,,,,,,,none
OR,PPA,PRGS-134398058,Artisan and Truckers Casualty Company,02/28/2025,5.700%,154310,,,,,,,,,none
OR,PPA,PRGS-134398058,Progressive Universal Insurance Company,02/28/2025,1.300%,260080,,,,,,,,,none
OR,PPA,PRGS-134578217,Artisan and Truckers Casualty Company,09/19/2025,4.100%,5487,Artisan and Truckers Casualty Company,09/19/25,4.1,,True,True,True,,direct
OR,PPA,PRGS-134578217,Progressive Universal Insurance Company,09/19/2025,3.700%,9055,Progressive Universal Insurance Company,09/19/25,3.7,,True,True,True,,direct
OR,PPA,PRGS-134641954,Artisan and Truckers Casualty Company,10/17/2025,-0.200%,159623,Artisan and Truckers Casualty Company,10/17/25,-0.2,,True,True,True,,direct
OR,PPA,PRGS-134641954,Progressive Universal Insurance Company,10/17/2025,-0.100%,275869,Progressive Universal Insurance Company,10/17/25,-0.1,,True,True,True,,direct
OR,PPA,PRGS-134771017,Artisan and Truckers Casualty Company,01/16/2026,-2.200%,155154,Artisan and Truckers Casualty Company,01/16/26,-2.2,,True,True,True,,direct
OR,PPA,PRGS-134771017,Progressive Universal Insurance Company,01/16/2026,-2.000%,283800,Progressive Universal Insurance Company,01/16/26,-2.0,,True,True,True,,direct
OR,PPA,LBPM-133903081,Safeco Insurance Company of Oregon,03/15/2024,17.500%,93529,,,,,,,,,none
