state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
GA,PPA,GMMX-134778608,Encompass Insurance Company,02/23/2026,-28.900%,1,Encompass Insurance Company,02/23/26,-28.9,1,True,True,True,True,direct
GA,PPA,GECC-133801223,GEICO Indemnity Company,12/10/2024,2.000%,58508,,,,,,,,,none
GA,PPA,GECC-133801223,GEICO Casualty Company,12/10/2024,6.200%,34283,,,,,,,,,none
GA,PPA,GECC-133801223,GEICO General Insurance Company,12/10/2024,4.700%,200454,,,,,,,,,none
GA,PPA,GECC-133801223,Government Employees Insurance Company,12/10/2024,4.700%,61259,,,,,,,,,none
GA,PPA,GECC-133801223,GEICO Secure Insurance Company,12/10/2024,6.200%,41061,,,,,,,,,none
GA,PPA,GECC-133801687,GEICO Indemnity Company,12/17/2024,0.000%,51240,,,,,,,,,none
GA,PPA,GECC-133801687,GEICO Casualty Company,12/17/2024,0.300%,45182,,,,,,,,,none
GA,PPA,GECC-133801687,GEICO General Insurance Company,12/17/2024,0.000%,188374,,,,,,,,,none
GA,PPA,GECC-133801687,Government Employees Insurance Company,12/17/2024,0.000%,57301,,,,,,,,,none
GA,PPA,GECC-133801687,GEICO Secure Insurance Company,12/17/2024,0.300%,55233,,,,,,,,,none
GA,PPA,GECC-133917322,GEICO Indemnity Company,04/04/2024,0.000%,50771,,,,,,,,,none
GA,PPA,GECC-133917322,GEICO General Insurance Company,04/04/2024,0.000%,187059,,,,,,,,,none
GA,PPA,GECC-133917322,Government Employees Insurance Company,04/04/2024,0.000%,59259,,,,,,,,,none
GA,PPA,GECC-133917326,GEICO Indemnity Company,04/04/2024,0.000%,50771,,,,,,,,,none
GA,PPA,GECC-133917326,GEICO General Insurance Company,04/04/2024,0.000%,187059,,,,,,,,,none
GA,PPA,GECC-133917326,Government Employees Insurance Company,04/04/2024,0.000%,59259,,,,,,,,,none
GA,PPA,GECC-134107684,GEICO Indemnity Company,08/10/2024,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134107684,GEICO General Insurance Company,08/10/2024,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134107684,Government Employees Insurance Company,08/10/2024,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134108258,GEICO Indemnity Company,08/10/2024,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134108258,GEICO General Insurance Company,08/10/2024,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134108258,Government Employees Insurance Company,08/10/2024,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134247548,GEICO Casualty Company,12/26/2024,-1.400%,42617,,,,,,,,,none
GA,PPA,GECC-134247548,GEICO Secure Insurance Company,12/26/2024,-1.400%,48648,,,,,,,,,none
GA,PPA,GECC-134341394,GEICO Indemnity Company,01/23/2025,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134341394,GEICO General Insurance Company,01/23/2025,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134341394,Government Employees Insurance Company,01/23/2025,0.000%,0,,,,,,,,,none
GA,PPA,GECC-134342306,GEICO Indemnity Company,01/23/2025,0.000%,0,GEICO Indemnity Company,01/23/25,0.0,0,True,True,True,True,direct
GA,PPA,GECC-134342306,GEICO General Insurance Company,01/23/2025,0.000%,0,GEICO General Insurance Company,01/23/25,0.0,0,True,True,True,True,direct
GA,PPA,GECC-134342306,Government Employees Insurance Company,01/23/2025,0.000%,0,Government Employees Insurance Company,01/23/25,0.0,0,True,True,True,True,direct
GA,PPA,GECC-134378423,GEICO Indemnity Company,02/16/2025,0.000%,31136,,,,,,,,,none
GA,PPA,GECC-134380217,GEICO Indemnity Company,02/16/2025,0.000%,31136,GEICO Indemnity Company,02/16/25,0.0,31136,True,True,True,True,direct
GA,PPA,GECC-134479273,GEICO Casualty Company,05/26/2025,7.800%,78243,,,,,,,,,none
GA,PPA,GECC-134479273,GEICO Secure Insurance Company,05/26/2025,7.800%,98376,,,,,,,,,none
GA,PPA,GECC-134514872,GEICO Casualty Company,08/21/2025,4.600%,78243,GEICO Casualty Company,08/21/25,4.6,78243,True,True,True,True,direct
GA,PPA,GECC-134514872,GEICO Secure Insurance Company,08/21/2025,4.600%,98376,GEICO Secure Insurance Company,08/21/25,4.6,98376,True,True,True,True,direct
GA,PPA,LBPM-133953198,The First Liberty Insurance Corporation,09/23/2024,0.000%,19890,,,,,,,,,none
GA,PPA,LBPM-133953198,Liberty Mutual Personal Insurance Company,09/23/2024,0.089%,23372,,,,,,,,,none
GA,PPA,LBPM-133979176,The First Liberty Insurance Corporation,04/06/2024,12.500%,6417,,,,,,,,,none
GA,PPA,LBPM-133979176,Liberty Mutual Personal Insurance Company,04/06/2024,12.500%,35282,,,,,,,,,none
GA,PPA,LBPM-134030059,The First Liberty Insurance Corporation,05/15/2024,0.000%,0,,,,,,,,,none
GA,PPA,LBPM-134030059,Liberty Mutual Personal Insurance Company,05/15/2024,0.000%,0,,,,,,,,,none
GA,PPA,LBPM-134031339,Liberty Insurance Corporation,06/01/2024,15.000%,33,,,,,,,,,none
GA,PPA,LBPM-134031339,Liberty Mutual Fire Insurance Company,06/01/2024,15.000%,5733,,,,,,,,,none
GA,PPA,LBPM-134192818,The First Liberty Insurance Corporation,10/08/2024,0.000%,4956,,,,,,,,,none
GA,PPA,LBPM-134192818,Liberty Mutual Personal Insurance Company,10/08/2024,0.000%,20308,,,,,,,,,none
GA,PPA,LBPM-134244510,Liberty Insurance Corporation,12/16/2024,10.000%,17,,,,,,,,,none
GA,PPA,LBPM-134244510,Liberty Mutual Fire Insurance Company,12/16/2024,10.000%,2899,,,,,,,,,none
GA,PPA,LBPM-134244527,The First Liberty Insurance Corporation,11/11/2024,12.500%,4261,,,,,,,,,none
GA,PPA,LBPM-134244527,Liberty Mutual Personal Insurance Company,11/11/2024,12.500%,21911,,,,,,,,,none
GA,PPA,LBPM-134438805,The First Liberty Insurance Corporation,04/30/2025,0.000%,7451,The First Liberty Insurance Corporation,04/30/25,0.0,7451,True,True,True,True,direct
GA,PPA,LBPM-134438805,Liberty Mutual Personal Insurance Company,04/30/2025,0.000%,12729,Liberty Mutual Personal Insurance Company,04/30/25,0.0,12729,True,True,True,True,direct
GA,PPA,LBPM-134446688,Liberty Insurance Corporation,07/26/2025,0.000%,0,Liberty Insurance Corporation,07/26/25,0.0,0,True,True,True,True,direct
GA,PPA,LBPM-134446688,Liberty Mutual Fire Insurance Company,07/26/2025,0.000%,0,Liberty Mutual Fire Insurance Company,07/26/25,0.0,0,True,True,True,True,direct
GA,PPA,LBPM-134560214,The First Liberty Insurance Corporation,08/09/2025,0.000%,5691,The First Liberty Insurance Corporation,08/09/25,0.0,5691,True,True,True,True,direct
GA,PPA,LBPM-134560214,Liberty Mutual Personal Insurance Company,08/09/2025,0.000%,10673,Liberty Mutual Personal Insurance Company,08/09/25,0.0,10673,True,True,True,True,direct
