state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
AZ,PPA,GNSC-134158469,"MGA Insurance Company, Inc.",06/22/2024,0.000%,6415,,,,,,,,,none
AZ,PPA,GNSC-134301599,"MGA Insurance Company, Inc.",10/17/2024,-4.500%,5426,,,,,,,,,none
AZ,PPA,GNSC-134540028,"MGA Insurance Company, Inc.",05/09/2025,-7.800%,4771,"MGA Insurance Company, Inc.",05/09/25,-7.8,4771,True,True,True,True,direct
AZ,PPA,GNSC-134757908,"MGA Insurance Company, Inc.",11/14/2025,-2.000%,14855,,,,,,,,,none
AZ,PPA,PRGS-133788171,Progressive Advanced Insurance Company,04/05/2024,3.800%,58744,,,,,,,,,none
AZ,PPA,PRGS-133788171,Progressive Preferred Insurance Company,04/05/2024,3.200%,47576,,,,,,,,,none
AZ,PPA,PRGS-134007460,Progressive Advanced Insurance Company,03/01/2024,1.100%,362287,,,,,,,,,none
AZ,PPA,PRGS-134007460,Progressive Preferred Insurance Company,03/01/2024,0.600%,208615,,,,,,,,,none
AZ,PPA,PRGS-134267496,Progressive Advanced Insurance Company,11/01/2024,-0.100%,414519,,,,,,,,,none
AZ,PPA,PRGS-134267496,Progressive Preferred Insurance Company,11/01/2024,0.100%,235674,,,,,,,,,none
AZ,PPA,PRGS-134465892,Progressive Advanced Insurance Company,04/11/2025,0.000%,448271,Progressive Advanced Insurance Company,04/11/25,0.0,448271,True,True,True,True,direct
AZ,PPA,PRGS-134465892,Progressive Preferred Insurance Company,04/11/2025,-2.500%,261867,Progressive Preferred Insurance Company,04/11/25,-2.5,261867,True,True,True,True,direct
AZ,PPA,PRGS-134541278,Progressive Advanced Insurance Company,01/09/2026,1.300%,69620,,,,,,,,,none
AZ,PPA,PRGS-134541278,Progressive Preferred Insurance Company,01/09/2026,1.300%,53447,,,,,,,,,none
