state,line,subsidiary,effective_date,impact,policyholders
OR,PPA,The Standard Fire Insurance Company,04/17/26,-3.1,50692
OR,PPA,The Standard Fire Insurance Company,08/22/25,-3.0,48456
OR,PPA,Integon Indemnity Corporation,01/30/26,0.0,0
OR,PPA,Integon Indemnity Corporation,10/30/25,-0.2,18991
OR,PPA,LM General Insurance Company,06/24/25,9.3,544
OR,PPA,LM Insurance Corporation,06/24/25,10.1,3
