state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
UT,PPA,LBPM-134255207,The First Liberty Insurance Corporation,10/29/2024,0.000%,0,,,,,,,,,none
UT,PPA,LBPM-134255471,Liberty Mutual Insurance Company,09/24/2024,-1.900%,16,,,,,,,,,none
UT,PPA,LBPM-134255471,Liberty Mutual Personal Insurance Company,09/24/2024,-3.000%,15460,,,,,,,,,none
UT,PPA,LBPM-134385701,Liberty Insurance Corporation,01/01/2025,0.000%,5,,,,,,,,,none
UT,PPA,LBPM-134385701,Liberty Mutual Fire Insurance Company,01/01/2025,0.000%,672,,,,,,,,,none
UT,PPA,LBPM-134385701,Liberty Mutual Insurance Company,01/01/2025,0.000%,13794,,,,,,,,,none
UT,PPA,LBPM-134385701,The First Liberty Insurance Corporation,01/01/2025,0.000%,7,,,,,,,,,none
UT,PPA,LBPM-134597407,Liberty Mutual Insurance Company,07/10/2025,4.600%,8,Liberty Mutual Insurance Company,07/30/25,4.6,8,True,True,False,True,date_relaxed
UT,PPA,LBPM-134597407,Liberty Mutual Personal Insurance Company,07/10/2025,0.000%,14257,Liberty Mutual Personal Insurance Company,11/25/25,0.0,14257,True,True,False,True,date_relaxed
UT,PPA,LBPM-134677038,Liberty Mutual Insurance Company,11/17/2025,0.000%,8,Liberty Mutual Insurance Company,11/25/25,0.0,8,True,True,False,True,date_relaxed
UT,PPA,LBPM-134677038,Liberty Mutual Personal Insurance Company,11/17/2025,0.000%,14257,,,,,,,,,none
UT,PPA,GNSC-133962646,"MGA Insurance Company, Inc.",02/25/2024,14.100%,3779,,,,,,,,,none
UT,PPA,GNSC-134231817,"MGA Insurance Company, Inc.",09/22/2024,0.000%,3993,,,,,,,,,none
UT,PPA,GNSC-134605705,"MGA Insurance Company, Inc.",07/18/2025,-9.900%,10395,"MGA Insurance Company, Inc.",08/25/25,-9.9,10395,True,True,False,True,date_relaxed
UT,PPA,PRGS-134161722,Progressive Advanced Insurance Company,07/26/2024,0.821%,90635,,,,,,,,,none
UT,PPA,PRGS-134161722,Progressive Casualty Insurance Company,07/26/2024,1.339%,55,,,,,,,,,none
UT,PPA,PRGS-134161722,Progressive Classic Insurance Company,07/26/2024,1.339%,16002,,,,,,,,,none
UT,PPA,PRGS-134161722,Progressive Direct Insurance Company,07/26/2024,0.821%,35976,,,,,,,,,none
UT,PPA,PRGS-134161722,Progressive Northern Insurance Company,07/26/2024,1.339%,198,,,,,,,,,none
UT,PPA,PRGS-134161722,Progressive Preferred Insurance Company,07/26/2024,1.339%,53020,,,,,,,,,none
UT,PPA,PRGS-134200135,Progressive Casualty Insurance Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,PRGS-134225724,Progressive Casualty Insurance Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,PRGS-134347002,Progressive Advanced Insurance Company,01/01/2025,-1.403%,119266,Progressive Advanced Insurance Company,02/19/25,-1.403,119266,True,True,False,True,date_relaxed
UT,PPA,PRGS-134347002,Progressive Casualty Insurance Company,01/01/2025,-1.870%,50,Progressive Casualty Insurance Company,02/19/25,-1.87,50,True,True,False,True,date_relaxed
UT,PPA,PRGS-134347002,Progressive Classic Insurance Company,01/01/2025,-1.870%,18828,Progressive Classic Insurance Company,02/19/25,-1.87,18828,True,True,False,True,date_relaxed
UT,PPA,PRGS-134347002,Progressive Direct Insurance Company,01/01/2025,-1.403%,41137,Progressive Direct Insurance Company,02/19/25,-1.403,41137,True,True,False,True,date_relaxed
UT,PPA,PRGS-134347002,Progressive Northern Insurance Company,01/01/2025,-1.870%,188,Progressive Northern Insurance Company,02/19/25,-1.87,188,True,True,False,True,date_relaxed
UT,PPA,PRGS-134347002,Progressive Preferred Insurance Company,01/01/2025,-1.870%,79562,Progressive Preferred Insurance Company,02/19/25,-1.87,79562,True,True,False,True,date_relaxed
UT,PPA,LBPM-134001834,Safeco Insurance Company of Illinois,06/18/2024,21.000%,25822,,,,,,,,,none
