state,line,subsidiary,effective_date,impact,policyholders
NM,HO,Liberty Insurance Corporation,01/09/26,3.0,7155
NM,HO,Travelers Personal Insurance Company,11/16/25,0.0,25994
NM,HO,Travelers Personal Insurance Company,08/17/25,0.0,27327
NM,HO,Travelers Personal Insurance Company,08/17/25,0.0,27327
NM,HO,Travelers Personal Insurance Company,08/17/25,0.0,27327
NM,HO,Liberty Insurance Corporation,02/13/25,-6.3,9654
