major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
PPA,,Essentia Insurance Company,01/01/26,11/25/25,,26.18,9.758,1326923,19760,13598566,24.282,-0.088,Rate,False
PPA,,,05/01/26,11/24/25,1.6,,,,,,,,Rate,False
PPA,,Essentia Insurance Company,12/15/25,11/21/25,,26.18,9.758,1326923,19760,13598566,24.282,-0.088,Rate,False
PPA,,,05/01/26,11/19/25,51.0,,,,,,,,Rate,False
PPA,,Allstate North American Insurance Company,03/17/26,11/17/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,Essentia Insurance Company,12/15/25,11/14/25,26.18,26.18,9.758,1326923,19760,13598566,24.282,-0.088,Rate,False
PPA,,Allstate North American Insurance Company,02/02/26,11/05/25,9.615,9.615,3.473,1191905,17504,34314648,6.425,0.683,Rate,False
HO,,Truck Insurance Exchange,11/16/25,10/28/25,17.706,17.706,9.2,232644,8129,2528738,20.895,-1.818,Rate,False
PPA,,American Family Insurance Company,01/01/26,10/27/25,,17.5,12.01,9316683,20535,77574171,179.343,-64.066,Rate,False
PPA,Insurance Group,Progressive Direct Insurance Company,01/30/26,10/23/25,15.0,15.0,12.637,1529646,24758,12104575,35.507,-4.255,Rate,False
PPA,Insurance Group,Progressive Northern Insurance Company,01/30/26,10/23/25,15.0,15.0,11.765,721225,12489,6130291,35.429,-3.54,Rate,False
PPA,Insurance Group,Progressive Direct Insurance Company,01/30/26,10/23/25,15.0,15.0,12.637,1529646,24758,12104575,35.507,-4.255,Rate,False
PPA,Insurance Group,Progressive Northern Insurance Company,01/30/26,10/23/25,15.0,15.0,11.765,721225,12489,6130291,35.429,-3.54,Rate,False
PPA,,Central Insurance Company,12/01/25,10/22/25,23.735,23.735,17.5,1330055,1720,7600167,29.829,7.814,Rate,False
PPA,,The Cincinnati Casualty Company,03/01/26,10/13/25,,32.4,20.47,2046818,2182,9998174,35.989,-30.811,Rate,False
PPA,,The Cincinnati Casualty Company,03/01/26,10/09/25,32.4,32.4,20.47,2046818,2182,9998174,35.989,-30.811,Rate,False
PPA,,Hartford Accident and Indemnity Company,10/23/25,10/06/25,40.272,40.272,6.308,243731,1570,3863870,11.463,0.716,Rate,False
PPA,,Twin City Fire Insurance Company,10/23/25,10/06/25,40.272,40.272,6.647,273266,1822,4110880,12.373,0.0,Rate,False
PPA,,Hartford Accident and Indemnity Company,10/23/25,10/06/25,40.272,40.272,6.308,243731,1570,3863870,11.463,0.716,Rate,False
PPA,,Twin City Fire Insurance Company,10/23/25,10/06/25,40.272,40.272,6.647,273266,1822,4110880,12.373,0.0,Rate,False
PPA,,American Family Insurance Company,01/29/26,09/30/25,17.5,17.5,12.01,9316683,20535,77574171,179.343,-64.066,Rate,False
HO,,Safeco Insurance Company of America,10/30/25,09/26/25,34.2,34.2,14.979,1260251,5203,8413197,90.241,-38.215,Rate,False
HO,Travelers Group,Travelers Property Casualty Insurance Company,09/26/25,09/18/25,21.499,21.499,14.416,8787343,58932,60957168,27.673,-11.978,Rate,False
PPA,PC Group,COUNTRY Casualty Insurance Company,10/25/25,09/18/25,,30.272,0.0,0,17,15069,0.0,0.0,Rate,False
PPA,PC Group,COUNTRY Mutual Insurance Company,10/25/25,09/18/25,,41.473,-0.001,-3,456,314805,0.547,-0.688,Rate,False
PPA,PC Group,COUNTRY Preferred Insurance Company,10/25/25,09/18/25,,30.946,-0.004,-16,791,429473,1.026,-0.633,Rate,False
PPA,PC Group,COUNTRY Casualty Insurance Company,10/25/25,09/18/25,,30.272,0.014,1,6,6727,0.061,0.0,Rate,False
