date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result
2025-03-28,778560,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,43.92,45.88,2.0,57.2,0.0,9.2,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778549,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,54.91,37.45,17.5,53.5,0.0,8.9,10,8,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-28,778548,Miami Marlins,Pittsburgh Pirates,loanDepot park,45.8,42.69,3.1,59.2,0.0,9.3,7,3,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778550,Texas Rangers,Boston Red Sox,Globe Life Field,44.27,43.07,1.2,57.7,0.0,9.3,5,4,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778518,Houston Astros,New York Mets,Daikin Park,36.68,27.14,9.5,63.2,0.0,9.9,4,1,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778543,Arizona Diamondbacks,Chicago Cubs,Chase Field,38.87,42.04,3.2,59.1,0.0,9.4,9,8,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778541,Seattle Mariners,Athletics,T-Mobile Park,34.85,59.75,24.9,60.2,0.0,9.3,7,0,7,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-03-28,778542,San Diego Padres,Atlanta Braves,Petco Park,39.18,28.14,11.0,62.6,0.0,9.8,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778544,Los Angeles Dodgers,Detroit Tigers,Dodger Stadium,44.7,33.3,11.4,60.5,0.0,9.6,13,8,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778538,New York Yankees,Milwaukee Brewers,Yankee Stadium,38.32,40.53,2.2,59.5,0.0,9.5,29,20,9,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778534,Chicago White Sox,Los Angeles Angels,Rate Field,42.09,41.86,0.2,59.8,0.0,9.4,1,0,1,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778528,St. Louis Cardinals,Minnesota Twins,Busch Stadium,42.75,53.04,10.3,58.5,0.0,9.2,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778536,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,71.5,33.38,38.1,53.0,0.0,8.7,14,5,9,False,HOME,HOME,0.6288,NO BET,,NO BET,LOSS,NO BET,NO BET
2025-03-29,778535,Washington Nationals,Philadelphia Phillies,Nationals Park,37.22,42.71,5.5,59.6,0.0,9.5,17,6,11,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778529,Kansas City Royals,Cleveland Guardians,Kauffman Stadium,37.78,37.97,0.2,61.5,0.0,9.6,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778540,Cincinnati Reds,San Francisco Giants,Great American Ball Park,37.71,42.0,4.3,60.5,0.0,9.5,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778537,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,58.99,37.51,21.5,59.4,0.0,9.3,3,1,2,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-03-29,778539,Miami Marlins,Pittsburgh Pirates,loanDepot park,52.94,33.39,19.5,61.3,0.0,9.5,9,5,4,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-29,778531,Texas Rangers,Boston Red Sox,Globe Life Field,54.07,48.19,5.9,55.1,0.0,8.9,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778530,Houston Astros,New York Mets,Daikin Park,29.26,28.41,0.9,65.2,0.0,10.1,3,2,1,True,NO BET,,,NO BET,,OVER,NO BET,NO BET,LOSS
2025-03-29,778520,San Diego Padres,Atlanta Braves,Petco Park,27.33,28.9,1.6,63.9,0.0,10.0,1,1,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778532,Arizona Diamondbacks,Chicago Cubs,Chase Field,42.41,35.33,7.1,60.2,0.0,9.5,7,3,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778533,Los Angeles Dodgers,Detroit Tigers,Dodger Stadium,47.15,22.55,24.6,63.5,0.0,9.8,10,7,3,True,HOME,HOME,0.5327,NO BET,,NO BET,WIN,NO BET,NO BET
2025-03-29,778521,Seattle Mariners,Athletics,T-Mobile Park,33.52,26.57,7.0,65.3,0.0,10.1,6,2,4,False,NO BET,,,NO BET,,OVER,NO BET,NO BET,LOSS
2025-03-30,778526,Washington Nationals,Philadelphia Phillies,Nationals Park,39.78,44.12,4.3,58.7,0.0,9.4,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778523,New York Yankees,Milwaukee Brewers,Yankee Stadium,38.14,38.76,0.6,59.7,0.0,9.5,15,12,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778525,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,36.3,37.48,1.2,60.4,0.0,9.6,4,3,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778522,Cincinnati Reds,San Francisco Giants,Great American Ball Park,44.94,47.57,2.6,57.8,0.0,9.2,9,3,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778524,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,52.86,42.03,10.8,57.1,0.0,9.1,10,6,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778519,Miami Marlins,Pittsburgh Pirates,loanDepot park,50.63,31.43,19.2,62.1,0.0,9.6,5,3,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-30,778510,Kansas City Royals,Cleveland Guardians,Kauffman Stadium,44.01,52.89,8.9,56.5,0.0,9.1,8,2,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778527,Chicago White Sox,Los Angeles Angels,Rate Field,51.51,48.23,3.3,55.4,0.0,9.0,5,2,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778517,St. Louis Cardinals,Minnesota Twins,Busch Stadium,33.09,41.54,8.4,62.5,0.0,9.7,11,9,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778516,Texas Rangers,Boston Red Sox,Globe Life Field,57.14,52.3,4.8,55.2,0.0,8.8,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778515,Arizona Diamondbacks,Chicago Cubs,Chase Field,46.56,37.95,8.6,59.0,0.0,9.4,16,10,6,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778513,Seattle Mariners,Athletics,T-Mobile Park,44.56,45.17,0.6,57.1,0.0,9.2,3,2,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778514,San Diego Padres,Atlanta Braves,Petco Park,42.18,25.04,17.1,63.3,0.0,9.9,5,5,0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-31,778506,Chicago White Sox,Minnesota Twins,Rate Field,40.69,67.53,26.8,57.6,0.0,9.0,9,9,0,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-03-31,778504,Milwaukee Brewers,Kansas City Royals,American Family Field,34.61,39.34,4.7,64.3,0.0,9.8,12,1,11,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778512,Baltimore Orioles,Boston Red Sox,Oriole Park at Camden Yards,30.84,37.86,7.0,62.0,0.0,9.8,13,8,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778502,Philadelphia Phillies,Colorado Rockies,Citizens Bank Park,48.46,25.35,23.1,64.1,0.0,9.8,7,6,1,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-31,778511,Cincinnati Reds,Texas Rangers,Great American Ball Park,62.78,26.78,36.0,61.7,0.0,9.4,17,14,3,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-31,778509,Miami Marlins,New York Mets,loanDepot park,35.49,37.54,2.0,60.6,0.0,9.6,14,4,10,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778508,Tampa Bay Rays,Pittsburgh Pirates,George M. Steinbrenner Field,41.57,33.79,7.8,62.3,0.0,9.7,7,6,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778507,Toronto Blue Jays,Washington Nationals,Rogers Centre,34.98,40.93,6.0,62.0,0.0,9.7,7,5,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778503,St. Louis Cardinals,Los Angeles Angels,Busch Stadium,51.8,48.65,3.1,55.2,0.0,8.9,9,4,5,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778505,Houston Astros,San Francisco Giants,Daikin Park,40.57,29.34,11.2,63.7,0.0,9.9,9,2,7,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778499,San Diego Padres,Cleveland Guardians,Petco Park,41.63,25.04,16.6,63.3,0.0,9.9,9,7,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-31,778496,Seattle Mariners,Detroit Tigers,T-Mobile Park,52.79,43.25,9.5,56.7,0.0,9.1,15,6,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778501,Athletics,Chicago Cubs,Sutter Health Park,38.87,25.96,12.9,64.9,0.0,10.0,21,3,18,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-03-31,778500,Los Angeles Dodgers,Atlanta Braves,Dodger Stadium,41.48,31.63,9.8,61.4,0.0,9.7,7,6,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778498,Cincinnati Reds,Texas Rangers,Great American Ball Park,47.81,57.04,9.2,56.0,0.0,8.9,1,0,1,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778497,Miami Marlins,New York Mets,loanDepot park,28.35,26.15,2.2,64.3,0.0,10.1,6,4,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778493,Tampa Bay Rays,Pittsburgh Pirates,George M. Steinbrenner Field,46.98,55.36,8.4,55.4,0.0,8.9,7,7,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778492,New York Yankees,Arizona Diamondbacks,Yankee Stadium,28.76,30.78,2.0,63.3,0.0,10.0,12,5,7,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778491,Toronto Blue Jays,Washington Nationals,Rogers Centre,35.64,37.42,1.8,55.8,0.0,9.3,8,5,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778490,Chicago White Sox,Minnesota Twins,Rate Field,26.7,73.3,46.6,59.7,0.0,9.2,11,3,8,False,AWAY,AWAY,0.6332,NO BET,,NO BET,WIN,NO BET,NO BET
2025-04-01,778488,Milwaukee Brewers,Kansas City Royals,American Family Field,36.43,28.22,8.2,64.9,0.0,9.9,5,5,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778495,St. Louis Cardinals,Los Angeles Angels,Busch Stadium,47.13,41.31,5.8,57.9,0.0,9.3,16,7,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778489,Houston Astros,San Francisco Giants,Daikin Park,38.55,42.69,4.1,59.2,0.0,9.4,4,1,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778485,San Diego Padres,Cleveland Guardians,Petco Park,54.17,32.13,22.0,61.5,0.0,9.5,7,7,0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-04-01,778486,Seattle Mariners,Detroit Tigers,T-Mobile Park,43.59,51.13,7.5,56.8,0.0,9.1,5,1,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778494,Athletics,Chicago Cubs,Sutter Health Park,46.56,31.26,15.3,61.0,0.0,9.6,11,4,7,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-04-01,778487,Los Angeles Dodgers,Atlanta Braves,Dodger Stadium,28.42,26.09,2.3,64.3,0.0,10.1,4,3,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-02,778480,Cincinnati Reds,Texas Rangers,Great American Ball Park,48.24,30.09,18.2,63.7,0.0,9.7,1,0,1,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-04-02,778479,Tampa Bay Rays,Pittsburgh Pirates,George M. Steinbrenner Field,53.09,72.65,19.6,51.8,0.0,8.4,6,2,4,False,AWAY,AWAY,0.6316,NO BET,,NO BET,WIN,NO BET,NO BET
2025-04-02,778477,Milwaukee Brewers,Kansas City Royals,American Family Field,30.9,43.45,12.6,63.4,0.0,9.7,5,3,2,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-04-02,778473,St. Louis Cardinals,Los Angeles Angels,Busch Stadium,50.6,46.1,4.5,57.7,0.0,9.1,17,12,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-02,778474,Chicago White Sox,Minnesota Twins,Rate Field,34.01,60.56,26.6,58.7,0.0,9.2,7,1,6,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-04-02,778478,Toronto Blue Jays,Washington Nationals,Rogers Centre,39.1,28.54,10.6,59.3,0.0,9.6,6,4,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-02,778471,Athletics,Chicago Cubs,Sutter Health Park,60.26,39.23,21.0,57.2,0.0,9.1,12,2,10,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-04-02,778476,San Diego Padres,Cleveland Guardians,Petco Park,42.96,30.72,12.2,63.1,0.0,9.8,7,5,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-04-02,778469,Seattle Mariners,Detroit Tigers,T-Mobile Park,50.63,43.65,7.0,56.8,0.0,9.1,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-02,778475,Houston Astros,San Francisco Giants,Daikin Park,37.91,22.58,15.3,64.4,0.0,10.0,9,3,6,False,HOME,HOME,0.5326,NO BET,,NO BET,LOSS,NO BET,NO BET
2025-04-02,778481,Miami Marlins,New York Mets,loanDepot park,28.59,33.87,5.3,63.0,0.0,9.9,11,5,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-02,778483,Baltimore Orioles,Boston Red Sox,Oriole Park at Camden Yards,33.89,26.39,7.5,63.7,0.0,10.0,3,0,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-02,778482,Philadelphia Phillies,Colorado Rockies,Citizens Bank Park,38.39,29.98,8.4,62.2,0.0,9.8,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-02,778484,New York Yankees,Arizona Diamondbacks,Yankee Stadium,26.81,53.65,26.8,61.6,0.0,9.6,7,3,4,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-04-02,778472,Los Angeles Dodgers,Atlanta Braves,Dodger Stadium,33.73,38.03,4.3,61.1,0.0,9.7,11,6,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-03,778470,Baltimore Orioles,Boston Red Sox,Oriole Park at Camden Yards,33.58,30.19,3.4,64.2,0.0,10.0,12,4,8,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-03,778467,Philadelphia Phillies,Colorado Rockies,Citizens Bank Park,34.67,40.32,5.6,62.2,0.0,9.7,4,3,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-03,778462,Minnesota Twins,Houston Astros,Target Field,49.81,39.88,9.9,53.3,0.0,9.0,7,2,5,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-03,778466,New York Yankees,Arizona Diamondbacks,Yankee Stadium,34.29,33.53,0.8,63.1,0.0,9.8,16,9,7,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-03,778468,Milwaukee Brewers,Cincinnati Reds,American Family Field,56.63,34.85,21.8,62.5,0.0,9.4,1,1,0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-04-04,778458,Detroit Tigers,Chicago White Sox,Comerica Park,59.55,36.17,23.4,58.2,0.0,9.2,11,7,4,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-04-04,778463,Boston Red Sox,St. Louis Cardinals,Fenway Park,42.41,48.71,6.3,57.4,0.0,9.2,22,13,9,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778460,Chicago Cubs,San Diego Padres,Wrigley Field,46.45,32.54,13.9,60.6,0.0,9.5,4,3,1,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-04-04,778465,New York Mets,Toronto Blue Jays,Citi Field,37.42,44.83,7.4,59.3,0.0,9.4,5,5,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778456,Colorado Rockies,Athletics,Coors Field,40.07,52.62,12.5,52.9,0.0,8.9,9,3,6,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-04-04,778461,Pittsburgh Pirates,New York Yankees,PNC Park,37.4,42.27,4.9,59.6,0.0,9.5,13,4,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778444,San Francisco Giants,Seattle Mariners,Oracle Park,37.95,37.23,0.7,57.0,0.0,9.5,19,10,9,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778457,Washington Nationals,Arizona Diamondbacks,Nationals Park,32.08,38.9,6.8,61.5,0.0,9.7,10,4,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778459,Philadelphia Phillies,Los Angeles Dodgers,Citizens Bank Park,30.57,37.36,6.8,62.1,0.0,9.8,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778464,Atlanta Braves,Miami Marlins,Truist Park,37.82,30.32,7.5,62.1,0.0,9.8,10,10,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778455,Kansas City Royals,Baltimore Orioles,Kauffman Stadium,36.67,30.1,6.6,62.3,0.0,9.8,10,8,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778454,Texas Rangers,Tampa Bay Rays,Globe Life Field,66.14,50.27,15.9,53.3,0.0,8.6,7,5,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-04-04,778453,Milwaukee Brewers,Cincinnati Reds,American Family Field,42.71,40.57,2.1,60.6,0.0,9.4,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-04,778447,Los Angeles Angels,Cleveland Guardians,Angel Stadium,25.58,34.63,9.1,63.9,0.0,10.0,14,6,8,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-05,778445,Detroit Tigers,Chicago White Sox,Comerica Park,59.85,37.5,22.4,57.8,0.0,9.1,9,7,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-04-05,778440,Minnesota Twins,Houston Astros,Target Field,41.69,34.32,7.4,55.7,0.0,9.3,7,6,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-05,778450,Chicago Cubs,San Diego Padres,Wrigley Field,33.95,54.53,20.6,59.4,0.0,9.3,8,7,1,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-04-05,778452,Washington Nationals,Arizona Diamondbacks,Nationals Park,32.0,38.04,6.0,61.6,0.0,9.7,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-05,778448,Philadelphia Phillies,Los Angeles Dodgers,Citizens Bank Park,52.04,29.91,22.1,60.8,0.0,9.5,4,1,3,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-04-05,778449,Pittsburgh Pirates,New York Yankees,PNC Park,38.03,49.51,11.5,58.6,0.0,9.3,14,4,10,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-05,778441,Kansas City Royals,Baltimore Orioles,Kauffman Stadium,30.99,30.59,0.4,64.3,0.0,10.0,9,1,8,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-05,778438,Texas Rangers,Tampa Bay Rays,Globe Life Field,70.9,38.06,32.8,56.5,0.0,8.9,10,6,4,True,HOME,HOME,0.6273,NO BET,,NO BET,WIN,NO BET,NO BET
2025-04-05,778446,New York Mets,Toronto Blue Jays,Citi Field,38.16,27.23,10.9,63.0,0.0,9.9,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-05,778439,Milwaukee Brewers,Cincinnati Reds,American Family Field,50.68,59.53,8.9,55.8,0.0,8.8,18,7,11,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-05,778451,Atlanta Braves,Miami Marlins,Truist Park,39.99,25.96,14.0,63.2,0.0,9.9,4,0,4,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-04-05,778442,Colorado Rockies,Athletics,Coors Field,36.87,43.71,6.8,54.8,0.0,9.2,11,4,7,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-05,778436,San Francisco Giants,Seattle Mariners,Oracle Park,22.66,37.08,14.4,61.5,0.0,9.9,5,4,1,True,AWAY,AWAY,0.5322,NO BET,,NO BET,LOSS,NO BET,NO BET
2025-04-05,778437,Los Angeles Angels,Cleveland Guardians,Angel Stadium,32.56,49.18,16.6,60.3,0.0,9.5,14,10,4,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-04-06,778429,Washington Nationals,Arizona Diamondbacks,Nationals Park,34.29,27.55,6.7,63.3,0.0,9.9,9,5,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778443,Boston Red Sox,St. Louis Cardinals,Fenway Park,36.09,23.83,12.3,64.2,0.0,10.0,9,5,4,True,HOME,HOME,0.5261,NO BET,,NO BET,WIN,NO BET,NO BET
2025-04-06,778432,Boston Red Sox,St. Louis Cardinals,Fenway Park,40.44,38.31,2.1,59.5,0.0,9.5,25,18,7,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778434,Philadelphia Phillies,Los Angeles Dodgers,Citizens Bank Park,51.17,39.42,11.8,58.1,0.0,9.2,15,8,7,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778428,Pittsburgh Pirates,New York Yankees,PNC Park,40.07,32.91,7.2,61.1,0.0,9.7,9,5,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778435,New York Mets,Toronto Blue Jays,Citi Field,35.54,26.14,9.4,63.6,0.0,10.0,3,2,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778433,Detroit Tigers,Chicago White Sox,Comerica Park,50.09,43.73,6.4,56.9,0.0,9.1,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778422,Kansas City Royals,Baltimore Orioles,Kauffman Stadium,51.12,34.13,17.0,59.6,0.0,9.4,5,4,1,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-04-06,778419,Minnesota Twins,Houston Astros,Target Field,38.91,29.24,9.7,62.3,0.0,9.8,16,7,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778421,Milwaukee Brewers,Cincinnati Reds,American Family Field,45.13,37.99,7.1,61.1,0.0,9.5,10,8,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778430,Chicago Cubs,San Diego Padres,Wrigley Field,29.07,49.56,20.5,56.5,0.0,9.3,15,7,8,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-04-06,778420,Texas Rangers,Tampa Bay Rays,Globe Life Field,29.02,50.75,21.7,61.2,0.0,9.6,7,4,3,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-04-06,778423,Colorado Rockies,Athletics,Coors Field,31.61,35.85,4.2,61.9,0.0,9.8,17,12,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778427,San Francisco Giants,Seattle Mariners,Oracle Park,58.85,59.31,0.5,40.4,-8.0,8.1,9,5,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-06,778425,Los Angeles Angels,Cleveland Guardians,Angel Stadium,35.56,41.16,5.6,60.2,0.0,9.6,8,6,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-07,778424,Detroit Tigers,New York Yankees,Comerica Park,50.25,48.99,1.3,56.9,0.0,9.1,8,6,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-07,778415,Pittsburgh Pirates,St. Louis Cardinals,PNC Park,46.05,52.45,6.4,55.9,0.0,9.0,12,8,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-07,778418,Washington Nationals,Los Angeles Dodgers,Nationals Park,27.33,26.49,0.8,64.3,0.0,10.1,10,6,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-07,778426,Boston Red Sox,Toronto Blue Jays,Fenway Park,37.45,25.06,12.4,63.7,0.0,9.9,8,2,6,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-04-07,778416,New York Mets,Miami Marlins,Citi Field,34.97,28.64,6.3,62.9,0.0,9.9,2,2,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-07,778411,Chicago Cubs,Texas Rangers,Wrigley Field,50.67,49.89,0.8,51.8,0.0,8.7,7,7,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-07,778412,Kansas City Royals,Minnesota Twins,Kauffman Stadium,30.61,44.83,14.2,61.3,0.0,9.6,6,4,2,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-04-07,778413,Arizona Diamondbacks,Baltimore Orioles,Chase Field,51.52,36.13,15.4,59.0,0.0,9.3,6,1,5,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
