date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result
2025-05-01,778094,Chicago White Sox,Milwaukee Brewers,Rate Field,73.1,47.33,25.8,53.5,0.0,8.6,8,8,0,True,HOME,HOME,0.6328,NO BET,,NO BET,WIN,NO BET,NO BET
2025-05-01,778096,Texas Rangers,Athletics,Globe Life Field,54.41,48.84,5.6,54.9,0.0,8.9,3,0,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-01,778099,Philadelphia Phillies,Washington Nationals,Citizens Bank Park,44.85,42.66,2.2,57.7,0.0,9.3,6,2,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-01,778095,Toronto Blue Jays,Boston Red Sox,Rogers Centre,45.29,48.82,3.5,56.5,0.0,9.1,6,4,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-01,778101,Los Angeles Angels,Detroit Tigers,Angel Stadium,69.88,66.22,3.7,33.1,-15.0,7.6,14,4,10,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-01,778098,San Francisco Giants,Colorado Rockies,Oracle Park,55.31,46.97,8.3,52.4,0.0,8.8,7,3,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778087,Cincinnati Reds,Washington Nationals,Great American Ball Park,30.09,59.14,29.1,61.1,0.0,9.4,7,6,1,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-05-02,778090,Pittsburgh Pirates,San Diego Padres,PNC Park,51.18,53.25,2.1,54.3,0.0,8.8,13,4,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778086,Philadelphia Phillies,Arizona Diamondbacks,Citizens Bank Park,36.48,45.37,8.9,59.5,0.0,9.4,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778093,Baltimore Orioles,Kansas City Royals,Oriole Park at Camden Yards,45.36,48.33,3.0,56.6,0.0,9.1,3,3,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778088,New York Yankees,Tampa Bay Rays,Yankee Stadium,56.51,61.0,4.5,43.9,-8.0,8.3,3,3,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778081,Toronto Blue Jays,Cleveland Guardians,Rogers Centre,40.66,59.93,19.3,56.8,0.0,9.0,8,5,3,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-05-02,778089,Boston Red Sox,Minnesota Twins,Fenway Park,72.13,47.49,24.6,53.5,0.0,8.6,7,6,1,True,HOME,HOME,0.6303,NO BET,,NO BET,WIN,NO BET,NO BET
2025-05-02,778091,Miami Marlins,Athletics,loanDepot park,59.59,50.38,9.2,53.9,0.0,8.7,7,1,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778092,Atlanta Braves,Los Angeles Dodgers,Truist Park,46.91,47.65,0.7,56.2,0.0,9.1,3,1,2,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778079,Chicago White Sox,Houston Astros,Rate Field,48.43,58.49,10.1,54.6,0.0,8.8,10,7,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778083,Texas Rangers,Seattle Mariners,Globe Life Field,38.48,58.41,19.9,57.6,0.0,9.1,14,1,13,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-05-02,778080,Milwaukee Brewers,Chicago Cubs,American Family Field,45.8,66.4,20.6,56.6,0.0,8.8,10,0,10,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-05-02,778084,St. Louis Cardinals,New York Mets,Busch Stadium,40.46,42.61,2.1,58.6,0.0,9.4,12,3,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778085,Los Angeles Angels,Detroit Tigers,Angel Stadium,46.98,36.08,10.9,59.5,0.0,9.4,10,1,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-02,778082,San Francisco Giants,Colorado Rockies,Oracle Park,49.88,55.39,5.5,53.1,0.0,8.8,4,4,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-03,778074,New York Yankees,Tampa Bay Rays,Yankee Stadium,47.37,76.03,28.7,53.2,0.0,8.5,5,2,3,False,AWAY,AWAY,0.6401,NO BET,,NO BET,WIN,NO BET,NO BET
2025-05-03,778066,Chicago White Sox,Houston Astros,Rate Field,60.78,45.26,15.5,55.3,0.0,8.9,11,3,8,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-03,778064,Toronto Blue Jays,Cleveland Guardians,Rogers Centre,57.4,44.09,13.3,56.0,0.0,9.0,8,3,5,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-03,778065,Pittsburgh Pirates,San Diego Padres,PNC Park,24.48,50.85,26.4,62.6,0.0,9.7,3,1,2,False,AWAY,AWAY,0.5227,NO BET,,NO BET,WIN,NO BET,NO BET
2025-05-03,778069,San Francisco Giants,Colorado Rockies,Oracle Park,61.5,61.73,0.2,34.0,-15.0,7.9,9,6,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-03,778073,Boston Red Sox,Minnesota Twins,Fenway Park,51.36,45.92,5.4,56.1,0.0,9.0,7,3,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-03,778075,Miami Marlins,Athletics,loanDepot park,57.04,34.45,22.6,59.0,0.0,9.3,15,9,6,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-03,778078,Philadelphia Phillies,Arizona Diamondbacks,Citizens Bank Park,60.1,52.84,7.3,54.7,0.0,8.8,9,7,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-03,778077,Cincinnati Reds,Washington Nationals,Great American Ball Park,29.1,44.21,15.1,62.8,0.0,9.7,17,6,11,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-05-03,778070,Texas Rangers,Seattle Mariners,Globe Life Field,59.49,46.94,12.6,55.0,0.0,8.9,3,1,2,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-03,778071,Milwaukee Brewers,Chicago Cubs,American Family Field,48.18,66.59,18.4,55.9,0.0,8.7,8,2,6,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-05-03,778072,Baltimore Orioles,Kansas City Royals,Oriole Park at Camden Yards,44.19,42.96,1.2,57.7,0.0,9.3,4,0,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-03,778076,Atlanta Braves,Los Angeles Dodgers,Truist Park,40.89,48.43,7.5,57.9,0.0,9.2,13,3,10,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-03,778067,Los Angeles Angels,Detroit Tigers,Angel Stadium,52.39,65.56,13.2,52.7,0.0,8.6,7,5,2,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-05-04,778053,St. Louis Cardinals,New York Mets,Busch Stadium,40.87,40.46,0.4,58.8,0.0,9.4,11,6,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-04,778068,St. Louis Cardinals,New York Mets,Busch Stadium,37.52,43.65,6.1,59.4,0.0,9.4,9,5,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-04,778062,Baltimore Orioles,Kansas City Royals,Oriole Park at Camden Yards,51.86,29.07,22.8,61.1,0.0,9.6,17,6,11,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-04,778051,Pittsburgh Pirates,San Diego Padres,PNC Park,41.14,45.88,4.7,58.1,0.0,9.3,4,0,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-04,778063,Boston Red Sox,Minnesota Twins,Fenway Park,45.79,49.79,4.0,56.3,0.0,9.1,9,4,5,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-04,778057,New York Yankees,Tampa Bay Rays,Yankee Stadium,66.09,82.39,16.3,31.9,-15.0,7.3,12,5,7,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-05-04,778056,Toronto Blue Jays,Cleveland Guardians,Rogers Centre,37.23,53.27,16.0,58.5,0.0,9.3,9,4,5,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-05-04,778061,Miami Marlins,Athletics,loanDepot park,53.25,56.84,3.6,53.3,0.0,8.7,5,2,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-04,778059,Philadelphia Phillies,Arizona Diamondbacks,Citizens Bank Park,59.25,45.95,13.3,55.3,0.0,8.9,20,9,11,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-04,778054,Milwaukee Brewers,Chicago Cubs,American Family Field,40.36,72.7,32.3,57.6,0.0,8.9,4,4,0,True,AWAY,AWAY,0.6318,NO BET,,NO BET,LOSS,NO BET,NO BET
2025-05-04,778052,Texas Rangers,Seattle Mariners,Globe Life Field,60.28,49.25,11.0,54.2,0.0,8.8,9,8,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-04,778048,San Francisco Giants,Colorado Rockies,Oracle Park,58.87,43.14,15.7,53.2,0.0,8.9,12,9,3,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
